episode,episodic_reward,avg_reward,episodic_delay,avg_delay
1,-1970.4396563590035,-1970.4396563590035,36821.314828506554,36821.314828506554
2,668.1674704930127,-651.1360929329953,12816.61775763745,24818.966293072
3,895.8141160914791,-135.4860232581705,26802.317617707547,25480.08340128385
4,2151.8542918463227,436.3490555179528,8669.32379322636,21277.393499269478
5,170.38459118202414,383.1561626507671,27788.24748921409,22579.5642972584
6,1083.7584383257552,499.92320859659844,3474.614936565169,19395.406070476194
7,1474.068202704771,639.0867791834802,3137.9035800034944,17072.905714694378
8,1944.85899603807,802.308306290304,4773.999838451833,15535.542480164062
9,3361.791925909017,1086.6953751368278,2211.6568952613075,14055.1107485082
10,2881.4126321221293,1266.167100835358,4326.230221338686,13082.222695791248
