episode,episodic_reward,avg_reward,episodic_delay,avg_delay
1,934.555222221229,934.555222221229,7170.477633130082,7170.477633130082
2,1470.8513279513697,1202.7032750862993,4633.772319454989,5902.124976292535
3,1801.6284429471355,1402.3449977065782,4044.899045501876,5283.049666028982
4,1523.724890984915,1432.6899710261623,4100.444925123945,4987.398480802723
5,1353.4138295545097,1416.8347427318317,11807.31012381393,6351.380809404965
6,-261.3928699351479,1137.1301406206685,21723.77437376281,8913.446403464606
7,-46.75441876798018,968.0037749937186,18339.638238482126,10260.045237038537
8,75.9794235067059,856.5007310578421,23527.833157384182,11918.518727081742
9,1536.8865083811418,932.0991507604309,3087.5279260748994,10937.29752696987
10,1201.614621429472,959.050697827335,3280.573666338525,10171.625140906737
