episode,episodic_reward,avg_reward,episodic_delay,avg_delay
1,1674.3952811850872,1674.3952811850872,2905.0627520900775,2905.0627520900775
2,1303.5285719576827,1488.961926571385,4862.195403546288,3883.629077818183
3,502.13056338037734,1160.018138841049,37696.140224161645,15154.466126599336
4,840.2114432695557,1080.0664649481757,24076.84325444813,17385.060408561534
5,1853.1662371308805,1234.6864193847166,4561.799349185938,14820.408196686414
6,1380.6415169045194,1259.0122689713505,18729.361533748983,15471.900419530177
7,2189.565330754809,1391.9484206547017,3178.6004245268136,13715.714705958268
8,1345.9581477213885,1386.1996365380376,15696.640044715255,13963.330373302892
9,36.02990412344692,1236.1807773808607,14011.42948565706,13968.674719120021
10,1579.5690637570697,1270.5196060184817,5221.017820026462,13093.909029210667
11,1356.7370315884643,1278.357553797571,7133.930081939351,12552.092761276908
12,855.2430329433216,1243.0980103930501,16053.174417768189,12843.849565984516
13,1008.7686727843645,1225.0726767308436,26785.05201413071,13916.249754303455
14,1473.5309112283128,1242.8196934806626,3044.793641015528,13139.717174782889
15,1464.3282708396575,1257.5869319712624,3034.7650462473894,12466.05369954719
16,1808.6180131713722,1292.0263745462694,6770.614894075816,12110.088774205227
17,1166.5127189098573,1284.6432183323627,3921.1266954335656,11628.385122512776
18,1081.1853491056158,1273.3400033753214,7470.9795756330805,11397.418147686127
19,1160.0152997418822,1267.3755452893508,3342.848381413256,10973.49342314545
20,1796.3289372919278,1293.8232148894797,2835.538602616793,10566.595682119016
21,2481.3253540111405,1350.3709358000349,2859.5263087143458,10199.592378623556
22,2644.514085772125,1409.1956244351297,2351.367965364286,9842.854905293589
23,3657.6221101637198,1506.9532977276772,1766.3289472833812,9491.701602771407
24,3972.4660433562776,1609.682995462202,1586.3564113392922,9162.312219795067
25,4326.493948289615,1718.3554335752985,1469.7524622737958,8854.609829494217
26,2625.685228586793,1753.252733383433,2696.7347086998184,8617.768478694432
27,2441.452450679001,1778.7416118017875,3076.0530653725805,8412.519759682511
28,2134.5689412107104,1791.449730709249,4162.495281315345,8260.733171169397
29,1657.0099690968443,1786.8138768605452,9041.735781425921,8287.664295661003
30,3597.8460068367267,1847.181614526418,1852.3029911154965,8073.152252176152
31,2559.2475006452514,1870.151481820574,3613.123149950152,7929.280345652732
